Season,Team,Matches,Won,Lost,Tied,No Result,Points,NRR,For Runs,Aggainst Runs
2015,Delhi Capitals,14,5,8,0,1,11,-0.049,"1,981/250.2","1,976/248.1"
2015,Punjab Kings,14,3,11,0,0,6,-1.436,"2,003/270","2,286/258.1"
2016,Gujarat Lions,14,9,5,0,0,18,-0.374,"2,130/264.3","2,285/271.1"
2016,Royal Challengers Bangalore,14,8,6,0,0,16,+0.932,"2,613/270.2","2,345/268.3"
2016,Sunrisers Hyderabad,14,8,6,0,0,16,+0.245,"2,082/259.5","2,078/267.3"
2016,Kolkata Knight Riders,14,8,6,0,0,16,+0.106,"2,123/253.2","2,121/256.2"
2016,Mumbai Indians,14,7,7,0,0,14,-0.146,"2,194/272.2","2,190/267"
2016,Delhi Capitals,14,7,7,0,0,14,-0.155,"2,040/259.1","2,107/262.3"
2016,Rising Pune Supergiant,14,5,9,0,0,10,+0.015,"2,025/244.5","1,991/241.1"
2016,Punjab Kings,14,4,10,0,0,8,-0.646,"2,134/269.4","2,224/259.5"
2017,Mumbai Indians,14,10,4,0,0,20,+0.784,"2,407/272.1","2,242/278.1"
2017,Rising Pune Supergiant,14,9,5,0,0,18,+0.176,"2,180/271","2,165/275.1"
2017,Sunrisers Hyderabad,14,8,5,0,1,17,+0.599,"2,221/252","2,118/257.5"
2017,Kolkata Knight Riders,14,8,6,0,0,16,+0.641,"2,329/260.5","2,300/277.3"
2017,Punjab Kings,14,7,7,0,0,14,-0.009,"2,207/261.2","2,229/263.4"
2017,Delhi Capitals,14,6,8,0,0,12,-0.512,"2,219/276.2","2,255/264"
2017,Gujarat Lions,14,4,10,0,0,8,-0.412,"2,406/269.5","2,472/265"
2017,Royal Challengers Bangalore,14,3,10,0,1,7,-1.299,"1,845/260","2,033/242.1"
2018,Sunrisers Hyderabad,14,9,5,0,0,18,+0.284,"2,230/273.3","2,193/278.4"
2018,Chennai Super Kings,14,9,5,0,0,18,+0.253,"2,488/275.3","2,433/277.1"
2018,Kolkata Knight Riders,14,8,6,0,0,16,-0.070,"2,363/265.1","2,425/270"
2018,Rajasthan Royals,14,7,7,0,0,14,-0.250,"2,130/255.3","2,141/249.2"
2018,Mumbai Indians,14,6,8,0,0,12,+0.317,"2,380/278.4","2,282/277.3"
2018,Royal Challengers Bangalore,14,6,8,0,0,12,+0.129,"2,322/264.4","2,383/275.4"
2018,Punjab Kings,14,6,8,0,0,12,-0.502,"2,210/268.4","2,259/258.5"
2018,Delhi Capitals,14,5,9,0,0,10,-0.222,"2,297/258","2,304/252.3"
2019,Mumbai Indians,14,9,5,0,0,18,+0.421,"2,380/275.1","2,282/277.2"
2019,Chennai Super Kings,14,9,5,0,0,18,+0.131,"2,043/274.1","2,012/274.5"
2019,Delhi Capitals,14,9,5,0,0,18,+0.044,"2,207/272.5","2,238/278.1"
2019,Sunrisers Hyderabad,14,6,8,0,0,12,+0.577,"2,288/269.2","2,200/277.5"
2019,Kolkata Knight Riders,14,6,8,0,0,12,+0.028,"2,466/270.4","2,419/266.2"
2019,Punjab Kings,14,6,8,0,0,12,-0.251,"2,429/276.3","2,503/277"
2019,Rajasthan Royals,14,5,8,0,1,11,-0.449,"2,153/257","2,192/248.2"
2019,Royal Challengers Bangalore,14,5,8,0,1,11,-0.607,"2,146/258.4","2,266/254.3"
2020,Mumbai Indians,14,9,5,0,0,18,+1.107,"2,378/262.2","2,187/274.5"
2020,Delhi Capitals,14,8,6,0,0,16,-0.109,"2,289/278.5","2,271/273"
2020,Sunrisers Hyderabad,14,7,7,0,0,14,+0.608,"2,225/269.3","2,125/277.5"
2020,Royal Challengers Bangalore,14,7,7,0,0,14,-0.172,"2,147/272.2","2,183/271"
2020,Kolkata Knight Riders,14,7,7,0,0,14,-0.214,"2,219/278","2,206/269.1"
2020,Punjab Kings,14,6,8,0,0,12,-0.162,"2,335/277.5","2,343/273.3"
2020,Chennai Super Kings,14,6,8,0,0,12,-0.455,"2,191/274.3","2,275/269.4"
2020,Rajasthan Royals,14,6,8,0,0,12,-0.569,"2,288/272.4","2,482/277"
